number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
155,-0.0023387188661162885,2025-12-07 02:07:54.631801,2025-12-07 02:07:56.037242,0 days 00:00:01.405441,0.0004163115903573523,102,extensive,102,COMPLETE
156,-0.0014488834657234346,2025-12-07 02:07:56.037876,2025-12-07 02:07:57.442759,0 days 00:00:01.404883,0.0009974599698615969,76,extensive,76,COMPLETE
157,-0.00036208724040757517,2025-12-07 02:07:57.443759,2025-12-07 02:07:58.765905,0 days 00:00:01.322146,0.0006802907442973023,124,extensive,124,COMPLETE
158,-0.0016559721242364045,2025-12-07 02:07:58.766903,2025-12-07 02:08:00.197960,0 days 00:00:01.431057,0.460643134852807,137,extensive,137,COMPLETE
159,-0.017811682742285135,2025-12-07 02:08:00.198967,2025-12-07 02:08:01.696435,0 days 00:00:01.497468,0.00024817545773070816,91,extensive,91,COMPLETE
160,-0.0013115450681432754,2025-12-07 02:08:01.697437,2025-12-07 02:08:03.180588,0 days 00:00:01.483151,0.00044702062067690865,114,extensive,114,COMPLETE
161,0.00022362999564318198,2025-12-07 02:08:03.181593,2025-12-07 02:08:04.665393,0 days 00:00:01.483800,0.0005661903517042515,95,extensive,95,COMPLETE
162,-0.0009570316524739978,2025-12-07 02:08:04.667543,2025-12-07 02:08:06.148294,0 days 00:00:01.480751,0.0008373988973379188,68,extensive,68,COMPLETE
163,0.00025143396348081826,2025-12-07 02:08:06.150295,2025-12-07 02:08:07.605214,0 days 00:00:01.454919,0.000579305434188974,104,extensive,104,COMPLETE
164,-0.003805456422161013,2025-12-07 02:08:07.606217,2025-12-07 02:08:09.042219,0 days 00:00:01.436002,0.0003809110909884615,106,extensive,106,COMPLETE
