number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
149,-88877.50005505142,2025-12-08 12:40:09.469582,2025-12-08 12:40:10.732292,0 days 00:00:01.262710,extensive,final,ols,pca_block,True,COMPLETE
150,-88876.76676348108,2025-12-08 12:40:10.732292,2025-12-08 12:40:11.970860,0 days 00:00:01.238568,extensive,final,ols,pca_block,True,COMPLETE
151,-88879.94250652945,2025-12-08 12:40:11.971989,2025-12-08 12:40:13.231389,0 days 00:00:01.259400,extensive,final,ols,pca_block,True,COMPLETE
152,-88878.26023700433,2025-12-08 12:40:13.231389,2025-12-08 12:40:14.446898,0 days 00:00:01.215509,extensive,final,ols,pca_block,True,COMPLETE
153,-88879.35347835044,2025-12-08 12:40:14.446898,2025-12-08 12:40:15.667754,0 days 00:00:01.220856,extensive,final,ols,pca_block,True,COMPLETE
154,-88878.61737849789,2025-12-08 12:40:15.668769,2025-12-08 12:40:16.779099,0 days 00:00:01.110330,extensive,final,ols,pca_block,True,COMPLETE
155,-88880.53421906759,2025-12-08 12:40:16.779099,2025-12-08 12:40:17.984398,0 days 00:00:01.205299,extensive,final,ols,pca_block,True,COMPLETE
156,-88879.27270489548,2025-12-08 12:40:17.985488,2025-12-08 12:40:19.119379,0 days 00:00:01.133891,extensive,final,ols,pca_block,True,COMPLETE
157,-88879.72927226324,2025-12-08 12:40:19.119379,2025-12-08 12:40:20.230543,0 days 00:00:01.111164,extensive,final,ols,pca_block,True,COMPLETE
158,-88877.75945286224,2025-12-08 12:40:20.230543,2025-12-08 12:40:21.458881,0 days 00:00:01.228338,extensive,final,ols,pca_block,True,COMPLETE
159,-88877.68347094631,2025-12-08 12:40:21.460041,2025-12-08 12:40:22.732794,0 days 00:00:01.272753,extensive,final,ols,pca_block,True,COMPLETE
160,-88877.08723033224,2025-12-08 12:40:22.732794,2025-12-08 12:40:23.949608,0 days 00:00:01.216814,extensive,final,ols,pca_block,True,COMPLETE
161,-88882.35066478331,2025-12-08 12:40:23.953121,2025-12-08 12:40:25.200147,0 days 00:00:01.247026,extensive,final,ols,pca_block,True,COMPLETE
162,-88878.14057922184,2025-12-08 12:40:25.202155,2025-12-08 12:40:26.452673,0 days 00:00:01.250518,extensive,final,ols,pca_block,True,COMPLETE
163,-88879.09952309645,2025-12-08 12:40:26.453698,2025-12-08 12:40:27.685102,0 days 00:00:01.231404,extensive,final,ols,pca_block,True,COMPLETE
164,-88881.69835815304,2025-12-08 12:40:27.685102,2025-12-08 12:40:28.936393,0 days 00:00:01.251291,extensive,final,ols,pca_block,True,COMPLETE
165,-88878.38697396092,2025-12-08 12:40:28.937882,2025-12-08 12:40:30.231729,0 days 00:00:01.293847,extensive,final,ols,pca_block,True,COMPLETE
166,-88876.6058074028,2025-12-08 12:40:30.231729,2025-12-08 12:40:31.485188,0 days 00:00:01.253459,extensive,final,ols,pca_block,True,COMPLETE
167,-88879.22717426205,2025-12-08 12:40:31.485188,2025-12-08 12:40:32.700267,0 days 00:00:01.215079,extensive,final,ols,pca_block,True,COMPLETE
168,-88878.26373975821,2025-12-08 12:40:32.701272,2025-12-08 12:40:33.908955,0 days 00:00:01.207683,extensive,final,ols,pca_block,True,COMPLETE
169,-88878.44493712219,2025-12-08 12:40:33.908955,2025-12-08 12:40:35.151231,0 days 00:00:01.242276,extensive,final,ols,pca_block,True,COMPLETE
170,-88878.94826832072,2025-12-08 12:40:35.152171,2025-12-08 12:40:36.357560,0 days 00:00:01.205389,extensive,final,ols,pca_block,True,COMPLETE
