number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
90,-0.0016559720935109083,2025-12-07 18:24:52.985313,2025-12-07 18:24:54.975464,0 days 00:00:01.990151,0.5587752493404438,0.029700818275137056,6,44,383,119,1.9697222653508522,1.1670391622753842,0.6999146535355159,medium,COMPLETE
91,-0.0016064344193144435,2025-12-07 18:24:54.975464,2025-12-07 18:24:59.894144,0 days 00:00:04.918680,0.5799566417367918,0.02257350210150128,7,47,2187,122,1.5885317911374113,0.6350547343650789,0.704785320862975,medium,COMPLETE
92,-0.0032643593825423998,2025-12-07 18:24:59.896324,2025-12-07 18:25:04.945921,0 days 00:00:05.049597,0.5281551799169261,0.0384585860279106,6,53,2426,117,1.1984696655575369,0.8575008286521246,0.6748584004969387,medium,COMPLETE
93,-0.0016265607016423544,2025-12-07 18:25:04.945921,2025-12-07 18:25:10.024720,0 days 00:00:05.078799,0.773351017755188,0.025883778481654046,7,40,1983,114,1.4453085893841722,0.2210746322606253,0.648008993293699,medium,COMPLETE
94,-0.0015961702353786134,2025-12-07 18:25:10.024720,2025-12-07 18:25:12.330360,0 days 00:00:02.305640,0.6178685027851306,0.034721704396100075,4,49,560,121,1.5306944312858501,1.8029852809173177,0.7738189541691288,medium,COMPLETE
95,-0.0016559720935109083,2025-12-07 18:25:12.331863,2025-12-07 18:25:16.596051,0 days 00:00:04.264188,0.5704243248872368,0.0686847261918249,6,34,1829,110,1.7431203106091502,1.3408391178838253,0.7294342573336832,medium,COMPLETE
96,-0.002101681546555915,2025-12-07 18:25:16.598606,2025-12-07 18:25:21.585794,0 days 00:00:04.987188,0.5926795796724681,0.07673635632580361,4,65,2171,112,1.3037366510032546,0.46153798939992624,0.8090935285663386,medium,COMPLETE
97,-0.009214512867249206,2025-12-07 18:25:21.585794,2025-12-07 18:25:26.081348,0 days 00:00:04.495554,0.6341748724435166,0.08525049070681642,12,31,1702,125,0.9422194869146525,0.6306912827162459,0.8250387170584123,medium,COMPLETE
98,-0.004393143256872234,2025-12-07 18:25:26.083423,2025-12-07 18:25:27.918521,0 days 00:00:01.835098,0.5167143961888202,0.095452551821664,5,46,249,119,1.1177524004469268,0.10780921585990016,0.8433521568445668,medium,COMPLETE
99,-0.0016559720935109083,2025-12-07 18:25:27.919087,2025-12-07 18:25:33.454227,0 days 00:00:05.535140,0.5479558179578998,0.05572844074937519,5,42,2568,106,1.9145510199309383,0.18331527745780923,0.7185259747121707,medium,COMPLETE
100,-0.0016077060138464105,2025-12-07 18:25:33.454227,2025-12-07 18:25:35.962631,0 days 00:00:02.508404,0.6575485046324703,0.08882462083038371,3,38,725,116,1.4214181956907201,1.5334424695504367,0.7905396007177374,medium,COMPLETE
101,-0.0015888439944570603,2025-12-07 18:25:35.963697,2025-12-07 18:25:40.822224,0 days 00:00:04.858527,0.5766244086410682,0.07897864895929246,4,78,2236,112,1.4889227538984957,9.00704038760339,0.6873002753567378,medium,COMPLETE
102,-0.001623059888370193,2025-12-07 18:25:40.822224,2025-12-07 18:25:45.405929,0 days 00:00:04.583705,0.6117669500845867,0.08021330481893271,4,87,2023,109,1.6725454123403414,8.970710700181556,0.6910806758032796,medium,COMPLETE
103,-0.0029526995634242548,2025-12-07 18:25:45.405929,2025-12-07 18:25:50.358058,0 days 00:00:04.952129,0.5607050946058065,0.06426754520363101,4,89,2295,112,1.2320895917879884,6.688483012780787,0.7393106988993544,medium,COMPLETE
104,-0.0015659893533293372,2025-12-07 18:25:50.358058,2025-12-07 18:25:56.051205,0 days 00:00:05.693147,0.5820844959797709,0.07075538062718124,3,52,2623,118,1.3478478801851814,8.460863666927544,0.6773543043346965,medium,COMPLETE
105,-0.0015960605288623715,2025-12-07 18:25:56.052337,2025-12-07 18:26:00.376469,0 days 00:00:04.324132,0.5825516354409589,0.06939254169073628,3,57,1880,115,1.360594781859348,11.296471789784208,0.6618788129875388,medium,COMPLETE
106,-0.0015942327516526393,2025-12-07 18:26:00.376469,2025-12-07 18:26:05.979863,0 days 00:00:05.603394,0.5443083970441036,0.01976899972959912,3,52,2643,120,1.5716624892406643,13.474442584671484,0.6767677432472325,medium,COMPLETE
107,-0.004333608326590466,2025-12-07 18:26:05.980368,2025-12-07 18:26:11.945621,0 days 00:00:05.965253,0.5751608907708369,0.04886321030645266,3,49,2909,118,1.0522172611674985,7.771467339928367,0.7122503140091873,medium,COMPLETE
